83,0
84,1
85,2
86,3
249,4
250,5
251,6
252,7
807,8
808,9
809,10
810,11
847,12
848,13
849,14
1080,15
1081,16
1082,17
1083,18
1084,19
1085,20
1251,21
1252,22
1253,23
1254,24
2214,25
2215,26
2216,27
2217,28
2218,29
4013,30
4014,31
4015,32
8462,33
8463,34
12470,35
12813,36
12865,37
12949,38
12978,39
12981,40
13080,41
13130,42
13152,43
13249,44
13297,45
13305,46
13409,47
13432,48
13513,49
14443,50
14449,51
14454,52
14468,53
14560,54
14602,55
14749,56
15142,57
22062,58
22756,59
31460,60
32558,61
35857,62
42492,63
43199,64
44718,65
46794,66
46797,67
46800,68
46803,69
46806,70
46809,71
46812,72
46815,73
46818,74
46821,75
46824,76
46827,77
46830,78
46833,79
46836,80
46839,81
46842,82
46845,83
46848,84
46851,85
46854,86
46857,87
46860,88
46863,89
46866,90
46869,91
46872,92
46875,93
46878,94
46881,95
46884,96
46887,97
46890,98
46893,99
46896,100
46899,101
46902,102
46905,103
46908,104
46911,105
46914,106
46917,107
46920,108
46923,109
46926,110
46929,111
46932,112
46935,113
46938,114
46941,115
46944,116
46947,117
46950,118
46953,119
46956,120
46959,121
46962,122
46965,123
46968,124
46971,125
47039,126
47040,127
47041,128
47042,129
47043,130
47044,131
47045,132
47046,133
47047,134
47048,135
47049,136
47050,137
47051,138
47052,139
47053,140
47054,141
47055,142
47056,143
47057,144
47058,145
47059,146
47060,147
47061,148
47062,149
47063,150
47064,151
47065,152
47066,153
47067,154
47068,155
47069,156
47072,157
47075,158
47078,159
47081,160
47084,161
47087,162
47090,163
47093,164
47096,165
47099,166
47102,167
47105,168
47108,169
47111,170
47114,171
47117,172
47120,173
47123,174
47126,175
47129,176
47132,177
47135,178
47138,179
47141,180
47144,181
47147,182
47150,183
47153,184
47156,185
47784,186
47788,187
47792,188
47796,189
47800,190
47804,191
47812,192
47816,193
47820,194
47824,195
47828,196
47832,197
47836,198
47840,199
47844,200
47848,201
47856,202
47860,203
47864,204
47868,205
47872,206
47876,207
47880,208
47884,209
47888,210
47892,211
47896,212
47900,213
48054,214
48058,215
48062,216
48066,217
48070,218
48074,219
48082,220
48086,221
48090,222
48094,223
48098,224
48102,225
48106,226
48110,227
48114,228
48118,229
48122,230
48126,231
48130,232
48134,233
48138,234
48142,235
48146,236
48150,237
48154,238
48158,239
48162,240
48166,241
48170,242
48446,243
48447,244
48448,245
48449,246
48450,247
48451,248
48452,249
48453,250
48454,251
48455,252
48456,253
48457,254
48458,255
48459,256
48460,257
48461,258
48462,259
48463,260
48464,261
48465,262
48466,263
48467,264
48470,265
48471,266
48472,267
48473,268
48474,269
48475,270
48476,271
48477,272
48478,273
48479,274
48482,275
48483,276
48484,277
48485,278
48486,279
48487,280
48488,281
48491,282
48492,283
48493,284
48494,285
48495,286
48496,287
48497,288
48498,289
48499,290
48500,291
48501,292
48502,293
48503,294
48504,295
48505,296
48506,297
48507,298
48508,299
48509,300
48510,301
48511,302
48512,303
48515,304
48516,305
48517,306
48518,307
48519,308
